model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008
,,,,,,,,,,,,,BMW 328cxi,3.0,6.0,Auto-S6,4WD,Gasoline,small car,7.0,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 328i,3.0,6.0,Auto-S6,2WD,Gasoline,small car,9.5,23.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,BMW 328i,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 328i,3.0,6.0,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,BMW 328i Sport Wagon,3.0,6.0,Man-6,2WD,Gasoline,station wagon,7.0,19.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW 328xi,3.0,6.0,Auto-S6,4WD,Gasoline,small car,9.5,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 328xi,3.0,6.0,Man-6,4WD,Gasoline,small car,7.0,19.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW 328xi,3.0,6.0,Auto-S6,4WD,Gasoline,small car,7.0,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 328xi Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,station wagon,7.0,19.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW 328xi Sport Wagon,3.0,6.0,Auto-S6,4WD,Gasoline,station wagon,7.0,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 335ci,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 335ci,3.0,6.0,Auto-S6,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 335ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 335ci Convertible,3.0,6.0,Auto-S6,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 335cxi,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,18.0,27.0,21.0,6.0,no
,,,,,,,,,,,,,BMW 335cxi,3.0,6.0,Auto-S6,4WD,Gasoline,small car,6.0,19.0,27.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 335i,3.0,6.0,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 335i,3.0,6.0,Auto-S6,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 335xi,3.0,6.0,Man-6,4WD,Gasoline,small car,6.0,18.0,27.0,21.0,6.0,no
,,,,,,,,,,,,,BMW 335xi,3.0,6.0,Auto-S6,4WD,Gasoline,small car,6.0,19.0,27.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 528i,3.0,6.0,Auto-S6,2WD,Gasoline,midsize car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 528i,3.0,6.0,Man-6,2WD,Gasoline,midsize car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW 528xi,3.0,6.0,Man-6,4WD,Gasoline,midsize car,7.0,19.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW 528xi,3.0,6.0,Auto-S6,4WD,Gasoline,midsize car,7.0,20.0,27.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 535i,3.0,6.0,Man-6,2WD,Gasoline,midsize car,6.0,19.0,28.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 535i,3.0,6.0,Auto-S6,2WD,Gasoline,midsize car,6.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,BMW 535xi,3.0,6.0,Man-6,4WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6.0,no
,,,,,,,,,,,,,BMW 535xi,3.0,6.0,Auto-S6,4WD,Gasoline,midsize car,6.0,19.0,27.0,22.0,6.0,no
,,,,,,,,,,,,,BMW 535xi Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,BMW 535xi Sport Wagon,3.0,6.0,Auto-S6,4WD,Gasoline,station wagon,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,BMW 550i,4.8,8.0,Man-6,2WD,Gasoline,midsize car,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,BMW 550i,4.8,8.0,Auto-S6,2WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,BMW 650ci,4.8,8.0,Man-6,2WD,Gasoline,small car,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,BMW 650ci,4.8,8.0,Auto-S6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,BMW 650ci Convertible,4.8,8.0,Man-6,2WD,Gasoline,small car,7.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,BMW 650ci Convertible,4.8,8.0,Auto-S6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,BMW 750i,4.8,8.0,Auto-S6,2WD,Gasoline,large car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,BMW 750li,4.8,8.0,Auto-S6,2WD,Gasoline,large car,7.0,17.0,25.0,20.0,6.0,yes
,,,,,,,,,,,,,BMW 760li,6.0,12.0,Auto-S6,2WD,Gasoline,large car,6.0,14.0,22.0,17.0,4.0,no
,,,,,,,,,,,,,BMW Alpina B7,4.4,8.0,Auto-S6,2WD,Gasoline,large car,6.0,15.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,BMW M5,5.0,10.0,Man-6,2WD,Gasoline,midsize car,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,BMW M5,5.0,10.0,Auto-S7,2WD,Gasoline,midsize car,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,BMW M6,5.0,10.0,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,BMW M6,5.0,10.0,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,BMW M6 Convertible,5.0,10.0,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,BMW M6 Convertible,5.0,10.0,Auto-S7,2WD,Gasoline,small car,6.0,12.0,19.0,14.0,2.0,no
,,,,,,,,,,,,,BMW X3,3.0,6.0,Man-6,4WD,Gasoline,SUV,7.0,18.0,26.0,21.0,6.0,yes
,,,,,,,,,,,,,BMW X3,3.0,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,19.0,26.0,22.0,6.0,yes
,,,,,,,,,,,,,BMW X5,3.0,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5.0,no
,,,,,,,,,,,,,BMW X5,4.8,8.0,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4.0,no
,,,,,,,,,,,,,BMW Z4,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW Z4,3.0,6.0,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,BMW Z4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,BMW Z4 Coupe,3.0,6.0,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,BUGATTI Veyron,8.0,16.0,Auto-S6,4WD,Gasoline,small car,6.0,8.0,14.0,10.0,0.0,no
,,,,,,,,,,,,,BUICK Allure,3.8,6.0,Auto-L4,2WD,Gasoline,midsize car,9.5,17.0,28.0,21.0,6.0,yes
,,,,,,,,,,,,,BUICK Allure,3.6,6.0,Auto-L4,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,BUICK Allure,5.3,8.0,Auto-L4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,BUICK Enclave,3.6,6.0,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,BUICK Enclave,3.6,6.0,Auto-L6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,BUICK LaCrosse,3.8,6.0,Auto-L4,2WD,Gasoline,midsize car,9.5,17.0,28.0,21.0,6.0,yes
,,,,,,,,,,,,,BUICK LaCrosse,3.6,6.0,Auto-L4,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,BUICK LaCrosse,5.3,8.0,Auto-L4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,BUICK Lucerne,3.8,6.0,Auto-L4,2WD,Gasoline,large car,9.5,16.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,BUICK Terraza,3.9,6.0,Auto-L4,2WD,Gasoline,minivan,6.0,16.0,23.0,19.0,5.0,no
,,,,,,,,,,,,,CADILLAC CTS,3.6,6.0,Man-6,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,CADILLAC CTS,3.6,6.0,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6.0,no
,,,,,,,,,,,,,CADILLAC CTS,3.6,6.0,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6.0,no
,,,,,,,,,,,,,CADILLAC CTS,3.6,6.0,Auto-S6,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6.0,no
,,,,,,,,,,,,,CADILLAC CTS,3.6,6.0,Auto-S6,2WD,Gasoline,midsize car,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,CADILLAC Escalade,6.2,8.0,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2.0,no
,,,,,,,,,,,,,CADILLAC Escalade,6.2,8.0,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2.0,no
,,,,,,,,,,,,,CADILLAC SRX,3.6,6.0,Auto-S5,2WD,Gasoline,SUV,6.0,15.0,22.0,17.0,4.0,no
,,,,,,,,,,,,,CADILLAC SRX,3.6,6.0,Auto-S5,4WD,Gasoline,SUV,6.0,14.0,22.0,17.0,4.0,no
,,,,,,,,,,,,,CADILLAC SRX,4.6,8.0,Auto-S6,2WD,Gasoline,SUV,6.0,13.0,20.0,16.0,4.0,no
,,,,,,,,,,,,,CADILLAC SRX,4.6,8.0,Auto-S6,4WD,Gasoline,SUV,6.0,13.0,20.0,15.0,3.0,no
,,,,,,,,,,,,,CADILLAC STS,3.6,6.0,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6.0,no
,,,,,,,,,,,,,CADILLAC STS,3.6,6.0,Auto-S6,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6.0,no
,,,,,,,,,,,,,CADILLAC STS,4.4,8.0,Auto-S6,2WD,Gasoline,midsize car,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,CADILLAC STS,4.6,8.0,Auto-S6,4WD,Gasoline,midsize car,6.0,14.0,21.0,16.0,4.0,no
,,,,,,,,,,,,,CADILLAC STS,4.6,8.0,Auto-S6,2WD,Gasoline,midsize car,6.0,15.0,24.0,18.0,5.0,no
,,,,,,,,,,,,,CADILLAC XLR,4.4,8.0,Auto-S6,2WD,Gasoline,small car,6.0,14.0,21.0,16.0,4.0,no
,,,,,,,,,,,,,CADILLAC XLR,4.6,8.0,Auto-S6,2WD,Gasoline,small car,6.0,15.0,24.0,18.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Classic,3.5,6.0,Auto-L4,2WD,Gasoline,midsize car,7.0,18.0,28.0,22.0,6.0,yes
,,,,,,,,,,,,,CHEVROLET Classic,2.2,4.0,Auto-L4,2WD,Gasoline,midsize car,6.0,21.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET Cobalt,2.2,4.0,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8.0,yes
,,,,,,,,,,,,,CHEVROLET Cobalt,2.2,4.0,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8.0,yes
,,,,,,,,,,,,,CHEVROLET Cobalt,2.2,4.0,Auto-L4,2WD,Gasoline,small car,6.0,22.0,31.0,26.0,8.0,yes
,,,,,,,,,,,,,CHEVROLET Cobalt,2.2,4.0,Man-5,2WD,Gasoline,small car,6.0,24.0,33.0,27.0,8.0,yes
,,,,,,,,,,,,,CHEVROLET Cobalt,2.4,4.0,Auto-L4,2WD,Gasoline,small car,6.0,22.0,31.0,25.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET Cobalt,2.4,4.0,Man-5,2WD,Gasoline,small car,6.0,22.0,32.0,26.0,8.0,yes
,,,,,,,,,,,,,CHEVROLET Corvette,7.0,8.0,Man-6,2WD,Gasoline,small car,6.0,15.0,24.0,18.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Equinox,3.4,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Equinox,3.4,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Equinox,3.6,6.0,Auto-S6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Equinox,3.6,6.0,Auto-S6,4WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Express 1500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Express 1500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Express 2500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET HHR,2.2,4.0,Man-5,2WD,Gasoline,SUV,7.0,20.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET HHR,2.2,4.0,Man-5,2WD,Gasoline,SUV,7.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET HHR,2.2,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,22.0,30.0,25.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET HHR,2.4,4.0,Man-5,2WD,Gasoline,SUV,7.0,20.0,28.0,23.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET HHR,2.4,4.0,Man-5,2WD,Gasoline,SUV,7.0,20.0,29.0,23.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET HHR,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,22.0,28.0,24.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET HHR,2.0,4.0,Auto-L4,2WD,Gasoline,SUV,6.0,19.0,28.0,22.0,6.0,no
,,,,,,,,,,,,,CHEVROLET Impala,3.5,6.0,Auto-L4,2WD,Gasoline,large car,9.5,18.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,CHEVROLET Impala,5.3,8.0,Auto-L4,2WD,Gasoline,large car,6.0,16.0,25.0,19.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Malibu,3.5,6.0,Auto-L4,2WD,Gasoline,midsize car,7.0,18.0,29.0,22.0,6.0,yes
,,,,,,,,,,,,,CHEVROLET Malibu,2.4,4.0,Auto-L4,2WD,Gasoline,midsize car,6.0,22.0,30.0,25.0,7.0,yes
,,,,,,,,,,,,,CHEVROLET Malibu,3.6,6.0,Auto-S6,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6.0,no
,,,,,,,,,,,,,CHEVROLET Malibu Hybrid,2.4,4.0,Auto-L4,2WD,Gasoline,midsize car,6.0,24.0,32.0,27.0,8.0,yes
,,,,,,,,,,,,,CHEVROLET Silverado 15,4.3,6.0,Auto-L4,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,CHEVROLET Silverado 15,4.3,6.0,Auto-L4,4WD,Gasoline,pickup,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,CHEVROLET Tahoe 1500,6.2,8.0,Auto-L6,2WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Tahoe 1500 Hybrid,6.0,8.0,Auto-AV,2WD,Gasoline,SUV,6.0,21.0,22.0,21.0,6.0,no
,,,,,,,,,,,,,CHEVROLET Tahoe 1500 Hybrid,6.0,8.0,Auto-AV,4WD,Gasoline,SUV,6.0,20.0,20.0,20.0,6.0,no
,,,,,,,,,,,,,CHEVROLET Trailblazer,5.3,8.0,Auto-L4,2WD,Gasoline,SUV,6.0,14.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,CHEVROLET Trailblazer,5.3,8.0,Auto-L4,4WD,Gasoline,SUV,6.0,13.0,19.0,16.0,4.0,no
,,,,,,,,,,,,,CHEVROLET Trailblazer,6.0,8.0,Auto-L4,2WD,Gasoline,SUV,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Trailblazer,6.0,8.0,Auto-L4,4WD,Gasoline,SUV,6.0,12.0,16.0,13.0,1.0,no
,,,,,,,,,,,,,CHEVROLET Uplander,3.9,6.0,Auto-L4,2WD,Gasoline,minivan,6.0,16.0,23.0,19.0,5.0,no
,,,,,,,,,,,,,CHEVROLET Van 1500,4.3,6.0,Auto-L4,2WD,Gasoline,van,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,CHEVROLET Van 1500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Van 1500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Van 1500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,13.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,CHEVROLET Van 1500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,CHEVROLET Van 2500,4.3,6.0,Auto-L4,2WD,Gasoline,van,6.0,15.0,20.0,17.0,4.0,no
,,,,,,,,,,,,,CHEVROLET Van 2500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,12.0,16.0,14.0,2.0,no
,,,,,,,,,,,,,CHEVROLET Van 2500,5.3,8.0,Auto-L4,4WD,Gasoline,van,6.0,13.0,17.0,15.0,3.0,no
,,,,,,,,,,,,,CHEVROLET Van 2500,5.3,8.0,Auto-L4,2WD,Gasoline,van,6.0,14.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,CHRYSLER 300,3.5,6.0,Auto-L5,4WD,Gasoline,large car,7.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,CHRYSLER 300,3.5,6.0,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER 300,3.5,6.0,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER 300,2.7,6.0,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER 300,6.1,8.0,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,CHRYSLER Aspen,4.7,8.0,Auto-L5,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,CHRYSLER Aspen,5.7,8.0,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3.0,no
,,,,,,,,,,,,,CHRYSLER Aspen,5.7,8.0,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,CHRYSLER Crossfire,3.2,6.0,Man-6,2WD,Gasoline,small car,6.0,15.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Crossfire,3.2,6.0,Auto-L5,2WD,Gasoline,small car,6.0,19.0,25.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,18.0,24.0,21.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,19.0,24.0,21.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Man-5,2WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Man-5,2WD,Gasoline,SUV,6.0,20.0,25.0,22.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser,2.4,4.0,Man-5,2WD,Gasoline,SUV,6.0,21.0,26.0,23.0,7.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Auto-L4,2WD,Gasoline,small car,7.0,18.0,24.0,21.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Auto-L4,2WD,Gasoline,small car,7.0,19.0,24.0,21.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Man-5,2WD,Gasoline,small car,7.0,20.0,25.0,22.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Auto-L4,2WD,Gasoline,small car,6.0,18.0,24.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Auto-L4,2WD,Gasoline,small car,6.0,19.0,24.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Man-5,2WD,Gasoline,small car,6.0,20.0,25.0,22.0,6.0,no
,,,,,,,,,,,,,CHRYSLER PT Cruiser Convertible,2.4,4.0,Man-5,2WD,Gasoline,small car,6.0,21.0,26.0,23.0,7.0,yes
,,,,,,,,,,,,,CHRYSLER Pacifica,3.8,6.0,Auto-L4,2WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Pacifica,4.0,6.0,Auto-L6,2WD,Gasoline,SUV,7.0,15.0,23.0,17.0,4.0,no
,,,,,,,,,,,,,CHRYSLER Pacifica,4.0,6.0,Auto-L6,4WD,Gasoline,SUV,7.0,14.0,22.0,17.0,4.0,no
,,,,,,,,,,,,,CHRYSLER SRT-8,3.5,6.0,Auto-L5,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER SRT-8,3.5,6.0,Auto-L4,2WD,Gasoline,large car,7.0,17.0,24.0,20.0,6.0,yes
,,,,,,,,,,,,,CHRYSLER SRT-8,2.7,6.0,Auto-L4,2WD,Gasoline,large car,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER SRT-8,6.1,8.0,Auto-L5,2WD,Gasoline,large car,6.0,13.0,18.0,15.0,3.0,no
,,,,,,,,,,,,,CHRYSLER Sebring,2.4,4.0,Auto-L4,2WD,Gasoline,midsize car,7.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,CHRYSLER Sebring,3.5,6.0,Auto-L6,4WD,Gasoline,midsize car,7.0,15.0,24.0,18.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Sebring,3.5,6.0,Auto-L6,2WD,Gasoline,midsize car,7.0,16.0,26.0,19.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Sebring,2.4,4.0,Auto-L4,2WD,Gasoline,midsize car,6.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,CHRYSLER Sebring,2.7,6.0,Auto-L4,2WD,Gasoline,midsize car,6.0,19.0,27.0,22.0,6.0,no
,,,,,,,,,,,,,CHRYSLER Sebring Convertible,2.4,4.0,Auto-L4,2WD,Gasoline,small car,7.0,20.0,29.0,23.0,7.0,yes
,,,,,,,,,,,,,CHRYSLER Sebring Convertible,3.5,6.0,Auto-L6,2WD,Gasoline,small car,7.0,16.0,26.0,19.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Sebring Convertible,2.4,4.0,Auto-L4,2WD,Gasoline,small car,6.0,20.0,29.0,23.0,7.0,yes
,,,,,,,,,,,,,CHRYSLER Sebring Convertible,2.7,6.0,Auto-L4,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no
,,,,,,,,,,,,,CHRYSLER Town & Country,3.3,6.0,Auto-L4,2WD,Gasoline,minivan,7.0,17.0,24.0,19.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Town & Country,3.8,6.0,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,CHRYSLER Town & Country,4.0,6.0,Auto-L6,2WD,Gasoline,minivan,7.0,16.0,23.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Avenger,2.4,4.0,Auto-L4,2WD,Gasoline,midsize car,7.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,DODGE Avenger,3.5,6.0,Auto-L6,4WD,Gasoline,midsize car,7.0,15.0,24.0,18.0,5.0,no
,,,,,,,,,,,,,DODGE Avenger,3.5,6.0,Auto-L6,2WD,Gasoline,midsize car,7.0,16.0,26.0,19.0,5.0,no
,,,,,,,,,,,,,DODGE Avenger,2.4,4.0,Auto-L4,2WD,Gasoline,midsize car,6.0,21.0,30.0,24.0,7.0,yes
,,,,,,,,,,,,,DODGE Avenger,2.7,6.0,Auto-L4,2WD,Gasoline,midsize car,6.0,19.0,27.0,22.0,6.0,no
,,,,,,,,,,,,,DODGE Caliber,2.4,4.0,Auto-AV,4WD,Gasoline,midsize car,7.0,21.0,24.0,22.0,6.0,yes
,,,,,,,,,,,,,DODGE Caliber,2.4,4.0,Auto-AV,2WD,Gasoline,midsize car,7.0,21.0,25.0,23.0,7.0,yes
,,,,,,,,,,,,,DODGE Caliber,2.0,4.0,Auto-AV,2WD,Gasoline,midsize car,6.0,23.0,27.0,24.0,7.0,yes
,,,,,,,,,,,,,DODGE Caliber,2.4,4.0,Auto-AV,2WD,Gasoline,midsize car,6.0,21.0,25.0,23.0,7.0,yes
