model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Volt,1.5,4.0,CVT,2WD,Gasoline,small car,3.0,43.0,42.0,42.0,10.0,Yes,,,,,,,,,,,,,
CHEVROLET Volt,1.5,4.0,CVT,2WD,Gasoline,small car,7.0,43.0,42.0,42.0,10.0,Elite,,,,,,,,,,,,,
CHRYSLER 300,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,,,,,,,,,,,,,
CHRYSLER 300,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,,,,,,,,,,,,,
DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No,,,,,,,,,,,,,
DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No,,,,,,,,,,,,,
FORD Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7.0,43.0,41.0,42.0,10.0,Elite,,,,,,,,,,,,,
GMC Sierra 15,4.3,6.0,Auto-6,2WD,Ethanol,pickup,5.0,12.0,16.0,14.0,4.0,No,,,,,,,,,,,,,
GMC Sierra 15,4.3,6.0,Auto-6,4WD,Ethanol,pickup,5.0,12.0,15.0,13.0,3.0,No,,,,,,,,,,,,,
GMC Sierra 15,5.3,8.0,Auto-6,2WD,Ethanol,pickup,3.0,12.0,17.0,14.0,3.0,No,,,,,,,,,,,,,
GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No,,,,,,,,,,,,,
GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No,,,,,,,,,,,,,
GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No,,,,,,,,,,,,,
GMC Yukon XL 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,15.0,12.0,3.0,No,,,,,,,,,,,,,
JEEP Cherokee,2.4,4.0,Auto-9,2WD,Ethanol,small SUV,3.0,15.0,22.0,18.0,5.0,No,,,,,,,,,,,,,
JEEP Cherokee,2.4,4.0,Auto-9,4WD,Ethanol,small SUV,3.0,14.0,21.0,17.0,5.0,No,,,,,,,,,,,,,
KARMA Revero,2.0,4.0,Auto-1,2WD,Gasoline,small car,1.0,20.0,21.0,20.0,10.0,No,,,,,,,,,,,,,
MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Ethanol,small car,5.0,17.0,24.0,20.0,6.0,No,,,,,,,,,,,,,
MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Ethanol,small SUV,5.0,17.0,23.0,19.0,5.0,No,,,,,,,,,,,,,
MERCEDES-BENZ GLE350 4Matic,3.5,6.0,Auto-7,4WD,Ethanol,standard SUV,3.0,13.0,17.0,14.0,3.0,No,,,,,,,,,,,,,
MINI Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Gasoline,midsize car,3.0,28.0,27.0,27.0,9.0,Yes,,,,,,,,,,,,,
TOYOTA Sequoia FFV,5.7,8.0,SemiAuto-6,4WD,Ethanol,standard SUV,5.0,9.0,13.0,10.0,1.0,No,,,,,,,,,,,,,
TOYOTA Tundra FFV,5.7,8.0,SemiAuto-6,4WD,Ethanol,pickup,5.0,9.0,12.0,10.0,2.0,No,,,,,,,,,,,,,
VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7.0,26.0,33.0,29.0,10.0,Elite,,,,,,,,,,,,,
VOLVO XC 60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7.0,26.0,28.0,26.0,10.0,Elite,,,,,,,,,,,,,
VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,26.0,30.0,27.0,10.0,Elite,,,,,,,,,,,,,
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Electricity,small car,3.0,66.0,78.0,71.0,10.0,Yes,,,,,,,,,,,,,
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Electricity,small car,7.0,70.0,75.0,72.0,10.0,Elite,,,,,,,,,,,,,
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Electricity,small car,7.0,66.0,68.0,67.0,10.0,Elite,,,,,,,,,,,,,
BMW 740e,2.0,4.0,SemiAuto-8,4WD,Electricity,large car,3.0,62.0,68.0,64.0,9.0,Yes,,,,,,,,,,,,,
CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gas,large car,5.0,18.0,28.0,22.0,4.0,No,,,,,,,,,,,,,
CHEVROLET Silverado 15,4.3,6.0,Auto-6,2WD,Gas,pickup,5.0,18.0,24.0,20.0,4.0,No,,,,,,,,,,,,,
CHEVROLET Silverado 15,4.3,6.0,Auto-6,4WD,Gas,pickup,5.0,17.0,22.0,19.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Gas,pickup,3.0,16.0,23.0,19.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,,,,,,,,,,,,,
CHEVROLET Volt,1.5,4.0,CVT,2WD,Electricity,small car,3.0,113.0,99.0,106.0,10.0,Yes,,,,,,,,,,,,,
CHEVROLET Volt,1.5,4.0,CVT,2WD,Electricity,small car,7.0,113.0,99.0,106.0,10.0,Elite,,,,,,,,,,,,,
CHRYSLER 300,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,,,,,,,,,,,,,
CHRYSLER 300,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,,,,,,,,,,,,,
DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No,,,,,,,,,,,,,
DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No,,,,,,,,,,,,,
FORD Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Electricity,midsize car,7.0,102.0,91.0,97.0,10.0,Elite,,,,,,,,,,,,,
GMC Sierra 15,4.3,6.0,Auto-6,2WD,Gas,pickup,5.0,18.0,24.0,20.0,4.0,No,,,,,,,,,,,,,
GMC Sierra 15,4.3,6.0,Auto-6,4WD,Gas,pickup,5.0,17.0,22.0,19.0,3.0,No,,,,,,,,,,,,,
GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gas,pickup,3.0,16.0,23.0,19.0,3.0,No,,,,,,,,,,,,,
GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,,,,,,,,,,,,,
GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,,,,,,,,,,,,,
GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No,,,,,,,,,,,,,
GMC Yukon XL 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No,,,,,,,,,,,,,
JEEP Cherokee,2.4,4.0,Auto-9,2WD,Gas,small SUV,3.0,21.0,30.0,25.0,5.0,No,,,,,,,,,,,,,
JEEP Cherokee,2.4,4.0,Auto-9,4WD,Gas,small SUV,3.0,21.0,28.0,23.0,5.0,No,,,,,,,,,,,,,
KARMA Revero,2.0,4.0,Auto-1,2WD,Electricity,small car,1.0,59.0,61.0,60.0,10.0,No,,,,,,,,,,,,,
MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gas,small car,5.0,24.0,32.0,27.0,6.0,No,,,,,,,,,,,,,
MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gas,small SUV,5.0,23.0,31.0,26.0,5.0,No,,,,,,,,,,,,,
MERCEDES-BENZ GLE350 4Matic,3.5,6.0,Auto-7,4WD,Gas,standard SUV,3.0,18.0,22.0,19.0,3.0,No,,,,,,,,,,,,,
